RID,important,worry,personal,future,segment
688cd34e-3088-893e-6a83-44b4607f358a,Not at all important,Not at all worried,Not at all,Don't know,Doubtful
688cd361-b982-0c52-c1f8-80836a55b6bb,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
688cd365-038f-294c-5c8c-c3b92bffd133,Somewhat important,Not very worried,A moderate amount,A moderate amount,Cautious
688cd366-c8a1-0ac4-781e-c8ef794ff168,Somewhat important,Somewhat worried,Only a little,Only a little,Cautious
688cd367-903e-ab0e-dee0-c4ea83e959b0,Extremely important,Somewhat worried,A moderate amount,A moderate amount,Concerned
688cd368-ef47-b9c8-a552-b1b0c0873e58,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
688cd368-f6cd-aa75-0996-77cf2890592c,Extremely important,Somewhat worried,A moderate amount,A moderate amount,Concerned
688cd36b-3391-4fe8-cc51-a8e592b5c6c8,Not too important,Not very worried,Not at all,Not at all,Dismissive
688cd36b-58dc-b554-3dbd-6cd2e41c1d6f,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
688cd370-d4b8-3964-f6c2-31055dc948ee,Very important,Very worried,Only a little,A great deal,Alarmed
688cd371-d8d9-b34c-43d2-41795239a3f8,Extremely important,Somewhat worried,Only a little,A great deal,Alarmed
688cd372-f526-cf10-ee4c-074158eff635,Extremely important,Very worried,A great deal,A great deal,Alarmed
688cd378-154d-0745-3575-981354800f40,Extremely important,Very worried,A great deal,A great deal,Alarmed
688cd37a-0072-4802-cba7-31455322bb9d,Very important,Very worried,A moderate amount,A great deal,Alarmed
688cd37b-31b9-73d9-22e2-bb2ea8c615c0,Extremely important,Very worried,A great deal,A great deal,Alarmed
688cd53e-7a87-c31a-5088-5ec106f3a38f,Extremely important,Somewhat worried,A moderate amount,A moderate amount,Concerned
688cd5c4-da4b-4a92-8cf0-037feaa65392,Very important,Somewhat worried,Only a little,A moderate amount,Concerned
688cdc62-5553-4dc6-6ad3-f354a6859ae5,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
688cdc72-b38a-a4a3-a439-80cbaf29270a,Extremely important,Very worried,A great deal,A great deal,Alarmed
688cdc79-710a-c3f4-3883-e8bdadb284f9,Very important,Somewhat worried,Only a little,A moderate amount,Concerned
688cdc91-d40f-6e21-77bf-4673735f2565,Not too important,Not very worried,Not at all,Only a little,Doubtful
688cdc92-69a8-68a5-aaa0-99514036b57c,Somewhat important,Somewhat worried,Only a little,A great deal,Concerned
688cdc92-eb74-09e5-7b9d-b92a22f28139,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
688cdc97-7c96-6258-1ffa-07888a761245,Not too important,Not at all worried,Not at all,Not at all,Dismissive
688cdca9-e338-689c-cfc9-800e3f0dfd86,Not at all important,Not at all worried,Don't know,Not at all,Dismissive
688cdcb7-ec07-4ecb-658f-bda96c0e936a,Extremely important,Very worried,A great deal,A great deal,Alarmed
688cdcc2-0d0b-d8ca-d0e9-4039b31475d0,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
688cdcc5-b9c6-fdfc-a70f-c648226fb55c,Somewhat important,Not very worried,A moderate amount,Don't know,Disengaged
688cdcc6-3129-3699-5521-b85f9431f319,Not at all important,Not at all worried,Don't know,Don't know,Doubtful
688cdcc9-cf9f-3b6a-8817-d2fa504fa669,Not at all important,Not at all worried,Don't know,Don't know,Doubtful
688cdce5-8e45-ab31-2f69-02ab874d2eec,Very important,Very worried,A moderate amount,A great deal,Alarmed
688cf3bd-28db-58c0-8d12-f53ab866ec42,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
688cf3d2-d47f-e1ca-b691-1aee333d00c5,Somewhat important,Not very worried,Don't know,Don't know,Disengaged
688cf406-b6ed-7500-fdb6-1fe13152f9a9,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
688cf440-b430-0852-1ec5-c300f58c6967,Somewhat important,Somewhat worried,Don't know,A moderate amount,Concerned
688cf451-2302-d784-8b9a-b8678a024a8e,Extremely important,Very worried,A great deal,A great deal,Alarmed
688d2373-6484-2e19-2aa9-655cb86edd60,Not at all important,Not at all worried,Not at all,Don't know,Doubtful
688d238d-991d-78ed-e71f-e39203fc4fce,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
688d238f-61f7-5e69-9f60-4c75645ae2be,Extremely important,Somewhat worried,Not at all,Only a little,Cautious
688d238f-638f-1b8b-9b1c-ac5ca2261e7d,Very important,Very worried,A moderate amount,A great deal,Alarmed
688d2391-255e-9d9f-d66b-b669cb7ddd78,Somewhat important,Not very worried,Only a little,Only a little,Cautious
688d2394-94bd-d881-a063-f5d12014aaa4,Somewhat important,Somewhat worried,Don't know,Don't know,Disengaged
688d239a-882f-8d71-9500-38dd8292fe9e,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
688d239b-82bf-01a4-be6d-3e7af60a90d6,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
688d239c-1ccc-a6c6-11b3-5270a1e6c5db,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
688d23a2-7cbc-607e-67f7-679be87a7e96,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
688d23a2-a976-4d54-e815-9f13030509fd,Extremely important,Somewhat worried,A moderate amount,A great deal,Alarmed
688d23a2-c305-f378-2ef2-c80e8ddc3dc8,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
688d23ab-0ec8-14cc-f1b3-efa6e3f89864,Very important,Very worried,A moderate amount,A great deal,Alarmed
688d23b0-d4de-7891-e461-9020dde7a244,Not too important,Not at all worried,Not at all,Don't know,Doubtful
688d23b2-a63d-03f4-418a-dab5171954e3,Extremely important,Very worried,A great deal,A great deal,Alarmed
688d23bb-1e93-eace-41ff-735a920e011d,Very important,Very worried,A moderate amount,A moderate amount,Concerned
688d23c0-6cc8-5dd6-4ba5-b6c4cf9957df,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
688d23c4-2d8c-79c1-c0d5-b3aeb46d365f,Extremely important,Very worried,A great deal,A great deal,Alarmed
688d23c8-0fce-10d3-b701-d58abf14d09d,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
688d23c8-443d-c6de-2f78-b52e6a09bbc4,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
688d23ca-7139-15df-3a5d-0db1be76de94,Somewhat important,Somewhat worried,Only a little,A great deal,Concerned
688d23ce-1471-582c-1099-d8c473292d14,Somewhat important,Somewhat worried,Only a little,Only a little,Cautious
688d23ce-514a-51bf-dcf7-a8e537a6af39,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
688d2419-4214-9542-3b2b-f4b60c248d33,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
688d2447-ab4e-b2af-fd43-6169ef3c6168,Not too important,Somewhat worried,Only a little,A great deal,Concerned
688d2595-85f4-8895-0de2-7fd292dfe239,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
688d25f0-dcfd-adaa-09bd-887b5a2bd65e,Not at all important,Not at all worried,Not at all,Don't know,Doubtful
688d2600-6c88-52c6-722f-704bb4acaf6a,Not too important,Not very worried,Only a little,Not at all,Dismissive
688d2611-4d72-6942-8748-256f34014684,Very important,Very worried,A moderate amount,A great deal,Alarmed
688d261f-dbbb-cb55-248e-751805666dca,Somewhat important,Not very worried,Only a little,Only a little,Cautious
688d2652-935f-b88d-0b59-f26dd7594dfe,Not too important,Somewhat worried,Only a little,A moderate amount,Cautious
688d2652-a85d-974e-7def-c009a2aeac6d,Somewhat important,Not very worried,Only a little,Only a little,Cautious
688d2670-f67f-e5b4-dd4c-c53452d0a407,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
688d267f-91b5-e7ed-53f7-43ff05a4e002,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
688d2684-a138-47ae-d4cd-1c7b1eb2cc6f,Very important,Somewhat worried,Not at all,Not at all,Cautious
688d26a4-f8cc-a2ea-6dba-97f1086ba853,Somewhat important,Not very worried,Not at all,Don't know,Doubtful
688d26cb-af86-21c7-36ef-c07d79cc2c26,Extremely important,Very worried,A great deal,A great deal,Alarmed
688d26ee-5453-eca1-d701-9e08d2887c03,Extremely important,Very worried,A great deal,A great deal,Alarmed
688d26f5-ab5c-dc07-4e58-d10f37032ec6,Extremely important,Very worried,A great deal,A great deal,Alarmed
688d274a-b7df-3886-fc3b-840fb0109ef2,Extremely important,Somewhat worried,A great deal,A great deal,Alarmed
688d2779-9d84-2ed4-dc01-d6cbe2b2849d,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
688d2789-0014-416c-2cf1-d73a6176c727,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
688d27a2-cbfe-af75-089f-66f85b876106,Extremely important,Somewhat worried,Only a little,A great deal,Alarmed
688d280c-b46f-3b41-a3eb-e631f6723731,Extremely important,Somewhat worried,A moderate amount,A great deal,Alarmed
688d284a-e72a-93c6-db93-4974226ed398,Extremely important,Not at all worried,A great deal,A great deal,Alarmed
688d28d7-4fe4-f825-2004-2b1c32663bc3,Extremely important,Very worried,A great deal,A great deal,Alarmed
688d28d8-bc96-779c-9333-4685cac6a805,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
688d28fb-82a7-7df6-4271-81b836ded687,Not at all important,Very worried,Only a little,A great deal,Concerned
689016b2-b3ca-e48b-d471-f7294e5e7103,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
689016ba-088d-7866-4f8d-db957953c945,Very important,Somewhat worried,A great deal,A great deal,Alarmed
689016bb-8715-0aa6-11df-47228755c26c,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689016c6-2a8c-4833-5f19-fe3d1ca13bca,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689016c8-bd1c-4fd6-41fe-342365fbe177,Extremely important,Very worried,A great deal,A great deal,Alarmed
689016c9-e186-f136-885b-bc9fa57a983e,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689016ca-6e3d-2ef9-b74c-521ba2d53b87,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
689016ca-7027-6068-d341-0494c7498927,Very important,Very worried,A great deal,A great deal,Alarmed
689016ce-6d53-360f-e068-c72b367b437a,Not too important,Not very worried,Not at all,Not at all,Dismissive
689016cf-e3fe-e795-3891-66b4c7cd0775,Somewhat important,Not very worried,A moderate amount,A great deal,Concerned
689016d1-5fd5-2dbe-5d0b-7a594a712014,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
689016d3-ece5-745e-1eed-ed5a4f3edc33,Not too important,Not very worried,Only a little,Only a little,Doubtful
689016d4-7055-e1da-2f98-2cc791001fd0,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689016d5-56a1-3587-efd0-e8649ad3ee3f,Somewhat important,Not very worried,Only a little,A moderate amount,Cautious
689016d6-1fbc-308f-160d-baf6730cee6d,Somewhat important,Somewhat worried,Not at all,A great deal,Concerned
689016d6-7c10-a875-5570-c3dc573d9ca1,Not too important,Somewhat worried,Only a little,A moderate amount,Cautious
689016d7-6a32-b09c-b78e-e74745bc3fc3,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
689016d7-94b3-a294-c4f7-f2097a618169,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
689016d9-8b8c-8496-2348-2fe851a375bc,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
689016da-7041-e039-e2c6-b3ff87241e4d,Somewhat important,Not very worried,Only a little,Only a little,Cautious
689016dc-898e-e5c1-37be-590543a3191b,Extremely important,Very worried,A great deal,A great deal,Alarmed
689016dd-ade5-272a-3483-6b8c84624846,Extremely important,Very worried,A great deal,A great deal,Alarmed
689016de-5728-aa08-2810-a9bb611c6993,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
689016de-5c39-282d-9bfd-766b83838301,Very important,Somewhat worried,Only a little,Only a little,Cautious
689016de-ac22-fa67-c1eb-842fa39c7b94,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
689016de-ca23-90ed-bbc5-361c8b0bd815,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
689016df-494f-dc00-9604-296df60fa65e,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689016df-645b-7158-3b1c-9f9c790ae84f,Extremely important,Not very worried,Only a little,Only a little,Cautious
689016df-65ef-c589-2234-ca74c538d5d2,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
689016e0-32b8-e4ef-e07c-c06f4c1641de,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
689016e0-53b3-a857-5ccb-e883f1ccbbca,Very important,Very worried,A moderate amount,A great deal,Alarmed
689016e1-3cdc-7c82-78a6-06aab2c8d3b7,Not too important,Not very worried,Only a little,Only a little,Doubtful
689016e1-76e5-b9ba-c256-63c74515f64b,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
689016e1-e18f-3da2-0da8-78a69bef58be,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
689016e2-02f8-0b88-d8b4-81a8f33bc871,Not at all important,Not at all worried,Don't know,Not at all,Dismissive
689016e2-5155-7756-926a-64e9f102d600,Somewhat important,Somewhat worried,Only a little,Only a little,Cautious
689016e2-e780-34b3-c9b9-979bcaea5ca4,Somewhat important,Somewhat worried,Not at all,A moderate amount,Cautious
689016e4-1750-9e96-3bcd-c4e19699098b,Somewhat important,Not very worried,Not at all,Not at all,Dismissive
689016e4-53cb-b3cf-a617-07e74f49c0bb,Somewhat important,Somewhat worried,Not at all,A moderate amount,Cautious
689016e5-4144-e727-f26c-67614b48dfc8,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
689016e5-5a64-fac5-e55a-cc7a63945099,Extremely important,Very worried,A great deal,A great deal,Alarmed
689016e5-7e30-1ef4-a55d-45e97b573c0a,Not at all important,Not at all worried,Don't know,Don't know,Doubtful
689016e7-af2e-adfe-7a84-cf20c21095bb,Not too important,Not very worried,Only a little,Only a little,Doubtful
689016e8-b7ef-0d9d-965c-6e565c8f5f2c,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
689016e9-154a-3ac8-c392-f7044deb0172,Extremely important,Very worried,A great deal,A great deal,Alarmed
689016eb-eea2-56b4-2770-71bdd76ca57b,Somewhat important,Somewhat worried,Only a little,A great deal,Concerned
689016ec-b4b0-9575-05a3-15f887e597d3,Not at all important,Not at all worried,Don't know,A great deal,Doubtful
689016ec-baa4-a40e-16b7-411e32e3d3e2,Extremely important,Very worried,A great deal,A great deal,Alarmed
689016ed-227a-cdb6-7896-fac7f78dda3c,Not too important,Somewhat worried,Only a little,A great deal,Concerned
689016ee-7893-b242-88ac-6829977c7045,Somewhat important,Very worried,Only a little,A great deal,Concerned
689016f0-f031-7531-97c0-9078fdbdeed5,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
689016f1-6b51-b25c-a95b-513e882008a3,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
689016f2-8fd7-79c9-a6c5-516b0a72ef17,Extremely important,Somewhat worried,A great deal,A great deal,Alarmed
689016f3-2c97-c5d2-b137-9dbe64df2313,Somewhat important,Not very worried,Only a little,A moderate amount,Cautious
689016f3-74e8-c64d-fc28-2791a9912ea6,Somewhat important,Not very worried,Only a little,A moderate amount,Cautious
689016f5-c32a-1c17-4e86-fe1ac39b6934,Extremely important,Somewhat worried,A great deal,A great deal,Alarmed
689016f5-f3d6-b319-a90b-d0823b8377d7,Extremely important,Very worried,A great deal,A great deal,Alarmed
689016f6-5b00-579f-05e1-48b4f3cbe33b,Somewhat important,Not very worried,Don't know,Don't know,Disengaged
689016f6-cd27-727d-5241-724c953c267e,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
689016f7-84f1-6be5-0fed-ad2319be55f7,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
689016f8-115d-469d-b2a0-ddd284b69d1a,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689016fb-19b9-85dd-8606-4083656e01b7,Very important,Somewhat worried,Only a little,A moderate amount,Concerned
689016fb-2db6-3a02-1c86-3a99c2b87604,Somewhat important,Very worried,A moderate amount,A moderate amount,Concerned
689016fb-84a1-2106-dc7f-e34d51f406fd,Very important,Somewhat worried,Only a little,A great deal,Concerned
689016fb-b56d-e260-223b-450e619f5551,Somewhat important,Not very worried,Not at all,A great deal,Cautious
