wt,RID,ev_ne,ev_adoption,ev_consider,ev_ee,ev_pnb,ev_intention,ev_personal.benefit,ev_self.efficacy,solar_ne,solar_adoption,solar_consider,solar_ee,solar_pnb,solar_intention,solar_personal.benefit,solar_self.efficacy,offset_ne,offset_adoption,offset_consider,offset_ee,offset_pnb,offset_intention,offset_personal.benefit,offset_self.efficacy,fw_ne,fw_adoption,fw_consider,fw_ee,fw_pnb,fw_intention,fw_personal.benefit,fw_self.efficacy,wave,ev_outcome.efficacy,solar_outcome.efficacy,community.solar_adoption,community.solar_consider,community.solar_intention,community.solar_ee,community.solar_pnb,community.solar_ne,community.solar_personal.benefit,community.solar_self.efficacy,community.solar_outcome.efficacy,offset_outcome.efficacy,beef_adoption,beef_consider,beef_intention,beef_ee,beef_pnb,beef_ne,beef_personal.benefit,beef_self.efficacy,beef_outcome.efficacy,hp_adoption,hp_consider,hp_intention,hp_ee,hp_pnb,hp_ne,hp_personal.benefit,hp_self.efficacy,hp_outcome.efficacy,ev_difficulty,solar_difficulty,community.solar_difficulty,offset_difficulty,hp_difficulty,beef_difficulty,fw_difficulty,fw_outcome.efficacy
1.21007888,61952a14-ceb9-36d2-0450-4c527e7ebbc1,5,0,0,1,1,0,3,5,5,0,1,1,1,50,5,5,1,0,0,0,1,0,3,1,6,0,0,0,1,10,3,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.687025371,61952dd2-dfd2-9a7a-ca54-6adbf24e8c5f,1,0,1,1,1,40,4,4,4,1,NA,0,1,0,5,4,1,0,1,0,1,50,3,4,4,1,1,2,1,70,4,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.687429414,61953fc2-707d-0ca7-625b-a84304b4d6f7,2,0,1,2,0,50,4,2,1,0,1,1,1,0,5,3,0,0,0,0,0,0,3,1,5,1,1,5,1,100,5,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.599585011,61954082-3a9d-aa93-1ac8-8f33bd58c41a,1,0,0,1,0,0,1,3,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,10,0,0,0,1,0,1,1,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.990464778,61954119-0bf0-9220-c0e1-c8a25cd2da65,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.824051278,61954316-752a-38ff-8827-749e36762f92,2,0,1,2,1,70,3,4,2,0,1,2,1,20,2,2,1,0,0,1,1,10,4,2,4,1,1,3,1,70,4,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619469842,619545de-92d4-1790-931f-06ebd4de3f55,9,0,1,1,1,70,3,4,4,0,1,0,1,10,2,3,0,0,0,0,0,0,1,2,1,0,0,1,0,10,2,2,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.623243048,61954759-2268-b969-974a-4beb6fcca53f,0,0,1,1,0,60,4,4,0,0,1,0,0,10,4,4,0,0,0,0,0,0,1,1,2,1,1,0,1,30,5,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.871944909,6195498e-2435-379e-5ee1-2b1adddfeb29,5,0,1,3,1,70,5,4,3,0,0,1,1,0,5,3,5,0,1,0,1,60,5,2,9,1,1,9,1,90,5,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.04015635,61954c7e-c696-c902-de4c-837d7552784a,9,0,1,4,1,50,5,5,7,1,NA,3,1,60,5,5,7,0,1,5,1,100,5,5,7,1,1,5,1,80,5,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.678703235,61954e33-97f3-872e-ab19-d2a13b639f40,3,1,NA,1,1,80,5,5,3,1,NA,3,1,0,5,5,1,0,0,0,1,50,3,4,1,1,1,0,1,80,4,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.744019085,61955244-85c1-7951-3c5f-5c0dafc4ba6c,0,0,0,0,0,20,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,5,1,1,8,1,100,5,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.389796766,61955884-d12e-ff9f-23f4-8e974e786b58,1,0,1,0,0,50,4,5,1,0,0,1,0,0,1,4,0,0,0,0,0,0,1,3,3,1,1,1,1,80,4,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.437663651,61955978-f0c0-2427-0dfe-ad110af8cc72,10,0,1,0,1,50,3,4,1,0,0,1,1,10,4,4,0,0,0,0,0,0,4,1,5,1,1,5,1,50,5,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.379789277,619559a6-ddd4-bc0d-07ef-b5a53480396c,6,1,NA,2,1,80,3,4,1,0,1,3,0,30,4,3,3,0,0,2,0,20,1,1,4,0,1,6,1,30,1,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.990464778,61955c70-205a-cc3a-37a3-f8c7f597a7e6,0,0,0,0,0,0,1,5,0,0,1,0,1,0,1,5,0,0,0,0,0,0,1,5,10,0,1,0,1,100,1,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619469842,61956982-094c-c1d6-e6a2-fe9c0e6f96f1,0,0,1,0,1,NA,3,1,2,0,1,0,1,10,4,2,0,0,0,0,1,0,2,1,2,1,1,0,1,40,3,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.55227956,619569e4-1083-5b86-cc21-2ecc1840c7e9,4,0,1,3,1,50,4,5,2,0,0,1,1,0,4,3,4,0,0,1,1,20,4,2,5,1,1,5,1,60,4,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.990464778,61956e79-c5cf-a5ef-b5af-9ad0f7e375a8,1,0,1,1,0,10,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,1,1,2,1,80,1,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
