age_group,sex,race,pop,prop
18-24,Male,White,"124,795",0.03459435
25-34,Male,White,"196,142",0.05437241
35-44,Male,White,"180,434",0.050018005
45-54,Male,White,"169,715",0.047046597
55+,Male,White,"485,425",0.134564383
18-24,Male,Black,"18,905",0.005240644
25-34,Male,Black,"31,224",0.008655587
35-44,Male,Black,"23,768",0.006588714
45-54,Male,Black,"21,817",0.006047878
55+,Male,Black,"40,496",0.011225873
18-24,Male,Asian,"22,743",0.006304574
25-34,Male,Asian,"36,662",0.010163052
35-44,Male,Asian,"35,966",0.009970114
45-54,Male,Asian,"28,327",0.007852511
55+,Male,Asian,"41,728",0.011567395
18-24,Male,American_Indian,753,0.000208739
25-34,Male,American_Indian,"2,264",0.000627602
35-44,Male,American_Indian,621,0.000172147
45-54,Male,American_Indian,882,0.000244499
55+,Male,American_Indian,954,0.000264458
18-24,Male,Native_Hawaiian,140,3.88093E-05
25-34,Male,Native_Hawaiian,235,6.51442E-05
35-44,Male,Native_Hawaiian,60,1.66326E-05
45-54,Male,Native_Hawaiian,389,0.000107834
55+,Male,Native_Hawaiian,43,1.192E-05
18-24,Male,Other,"48,561",0.013461567
25-34,Male,Other,"62,424",0.017304521
35-44,Male,Other,"60,809",0.016856828
45-54,Male,Other,"46,882",0.012996132
55+,Male,Other,"57,521",0.015945363
18-24,Female,White,"134,140",0.037184872
25-34,Female,White,"198,779",0.055103412
35-44,Female,White,"181,341",0.050269434
45-54,Female,White,"173,507",0.048097775
55+,Female,White,"562,440",0.155913667
18-24,Female,Black,"21,162",0.005866306
25-34,Female,Black,"26,625",0.007380701
35-44,Female,Black,"23,933",0.006634453
45-54,Female,Black,"24,767",0.006865646
55+,Female,Black,"49,902",0.013833305
18-24,Female,Asian,"24,423",0.006770286
25-34,Female,Asian,"39,988",0.01108505
35-44,Female,Asian,"41,010",0.011368358
45-54,Female,Asian,"29,954",0.008303531
55+,Female,Asian,"48,862",0.013545007
18-24,Female,American_Indian,957,0.000265289
25-34,Female,American_Indian,1386,0.000384212
35-44,Female,American_Indian,454,0.000125853
45-54,Female,American_Indian,502,0.000139159
55+,Female,American_Indian,583,0.000161613
18-24,Female,Native_Hawaiian,48,1.33061E-05
25-34,Female,Native_Hawaiian,346,9.59145E-05
35-44,Female,Native_Hawaiian,520,0.000144149
45-54,Female,Native_Hawaiian,321,8.89842E-05
55+,Female,Native_Hawaiian,0,0
18-24,Female,Other,"44,319",0.012285644
25-34,Female,Other,"57,912",0.016053752
35-44,Female,Other,"60,465",0.016761468
45-54,Female,Other,"47,068",0.013047693
55+,Female,Other,"70,982",0.019676879
