segment,count
Less Than 1st Grade,"800,519"
"1st,2nd,3rd Or 4th Grade","1,312,481"
5th Or 6th Grade,"2,556,967"
7th Or 8th Grade,"2,768,252"
9th Grade,"2,561,235"
10th Grade,"2,868,726"
11th Grade,"3,956,928"
12th Grade No Diploma,"4,042,730"
High School Grad-Diploma Or Equiv (ged),"74,629,604"
Some College But No Degree,"38,623,675"
Associate Degree-Occupational/Vocationl,"11,241,120"
Associate Deg.-Academic Program,"15,707,255"
"Bachelor's Degree(ex:ba,ab,bs)","60,480,340"
"MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)","27,369,141"
"Professional School Deg(ex:md,dds,dvm)","3,676,553"
"DOCTORATE DEGREE(EX:PhD,EdD)","5,818,522"
