income,count,prop
"Less than $5,000","4,127,087",0.015970831
"$5,000 to $7,499","1,529,185",0.005917577
"$7,500 to $9,999","1,721,889",0.006663295
"$10,000 to $12,499","3,693,870",0.014294385
"$12,500 to $14,999","3,179,985",0.012305774
"$15,000 to $19,999","5,392,882",0.020869152
"$20,000 to $24,999","7,561,630",0.029261683
"$25,000 to $29,999","7,831,354",0.03030545
"$30,000 to $34,999","9,814,783",0.037980841
"$35,000 to $39,999","10,288,883",0.039815494
"$40,000 to $49,999","16,285,839",0.063022266
"$50,000 to $59,999","18,362,214",0.071057336
"$60,000 to $74,999","25,711,201",0.099496142
"$75,000 to $99,999","34,577,946",0.133808305
"$100,000 to $149,999","45,679,880",0.176770111
"$150,000 and over","62,655,421",0.242461357
